sujet,numero_question,code_noeud,confiance,motif
2023_DIDA_anglais,Q36,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q37,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q38,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q39,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q40,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q41,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q42,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q43,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q44,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q45,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q46,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q47,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q48,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q49,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q50,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q51,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q52,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q54,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q55,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q56,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q57,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q58,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q59,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_anglais,Q60,,,"Épreuve de didactique de la spécialité (اللغة الإنجليزية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q1,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q2,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q3,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q4,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q5,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q6,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q7,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q8,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q9,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q10,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q11,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q12,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q13,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q14,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q15,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q16,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q17,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q18,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q19,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q20,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q21,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q22,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q23,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q24,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q25,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q26,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q27,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q28,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q29,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q30,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q31,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q32,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q33,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q34,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q35,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q36,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q37,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q38,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q39,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q40,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q41,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q42,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q43,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q44,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q45,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q46,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q47,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q48,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q49,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q50,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q51,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q52,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q53,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q54,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q55,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q56,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q57,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q58,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q59,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_arabe,Q60,,,"Épreuve de didactique de la spécialité (اللغة العربية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q1,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q2,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q3,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q4,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q5,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q6,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q7,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q8,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q9,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q10,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q11,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q12,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q13,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q14,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q15,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q16,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q17,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q18,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q19,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q20,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q21,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q22,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q23,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q24,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q25,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q26,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q27,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q28,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q29,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q30,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q31,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q32,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q33,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q34,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q35,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q36,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q37,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q38,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q39,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
2023_DIDA_education_islamique,Q40,,,"Épreuve de didactique de la spécialité (التربية الإسلامية) — relève d'un autre arbre de compétences que l'arbre SE fourni ; arbre non communiqué, question non classée."
